,0
659,4305
660,2386
661,3689
662,5150
663,2487
664,4175
665,2245
666,5122
667,4030
668,1983
669,4310
670,3556
671,3151
672,1526
673,1595
674,1145
675,2196
676,2249
677,1398
678,2374
679,2067
680,1169
681,2849
682,3083
683,4400
684,2710
685,4490
686,3556
687,2692
688,2221
689,4677
690,3373
691,4138
692,3006
693,2879
694,2724
695,2998
696,2632
697,2041
698,3337
699,2674
700,907
701,3293
702,4150
703,4422
704,3800
705,1603
706,3441
707,5340
708,11952
709,2438
710,3253
711,3524
712,5216
713,4927
714,4180
715,1866
716,3009
717,3174
718,2229
719,3408
720,6419
721,3380
722,3083
723,2461
724,2069
725,3205
726,3333
727,2061
728,2561
729,1643
730,3385
731,4015
732,3958
733,4266
734,1145
735,1538
736,4087
737,4838
738,1894
739,2005
740,3299
741,3330
742,1763
743,5472
744,3133
745,6106
746,2834
747,5405
748,3346
749,2931
750,4110
751,3404
752,2014
753,4159
754,4998
755,4002
756,2150
757,2736
758,1682
759,3978
760,3127
761,3083
762,2389
763,4939
764,5004
765,3802
766,2716
767,5144
768,3147
769,4222
770,2204
771,3129
772,4252
773,2690
774,4438
775,2826
776,2285
777,3118
778,2076
779,5329
780,2648
781,3493
782,5694
783,4393
784,5616
785,3101
786,3506
787,2806
788,1146
789,1199
790,1224
791,3541
792,2186
793,2867
794,2323
795,2219
796,3256
797,4117
798,3416
799,2632
800,4251
801,2311
802,3352
803,4092
804,4809
805,2373
806,1501
807,2023
808,1388
809,1480
810,2456
811,2533
812,5313
813,3966
814,3101
815,1961
816,3942
817,3023
818,5727
819,2635
820,1238
821,3338
822,3750
823,1405
824,1701
825,2439
826,2420
827,2178
828,2599
829,3403
830,1530
831,3038
832,2525
833,2494
834,4077
835,2713
836,2561
837,3282
838,2285
839,5147
840,2177
841,1738
842,2502
843,2749
844,4400
845,4111
846,2022
847,892
848,3347
849,3303
850,4194
851,1688
852,3385
853,3698
854,1892
855,2658
856,2019
857,1582
858,1477
859,1287
860,1775
861,1598
862,2286
863,2209
864,6762
865,3976
866,2760
867,2253
868,2134
869,3204
870,2447
871,2599
872,1070
873,1746
874,1223
875,1598
876,1024
877,1136
878,748
879,1530
880,734
881,771
882,702
883,1403
884,1020
885,735
886,834
887,654
888,991
889,1196
890,1682
891,982
892,655
893,918
894,1053
895,975
896,808
897,844
898,899
899,636
900,811
901,942
902,1376
903,1122
904,1822
905,1119
906,995
907,1872
908,1280
909,920
910,735
911,854
912,1345
913,907
914,902
915,802
916,787
917,836
918,1709
919,1215
920,1059
921,1446
922,1180
923,1139
924,1340
925,957
926,1773
927,1336
928,1762
929,2302
930,1423
931,5118
932,4110
933,1959
934,2184
935,1315
936,1457
937,1649
938,3053
939,1746
940,1921
941,1075
942,2818
943,1266
944,1148
945,2660
946,3130
947,2109
948,1375
949,1424
950,1801
951,2046
952,2085
953,2225
954,3025
955,2180
956,877
957,1248
958,1572
959,1978
960,2168
961,1290
962,3240
963,2142
964,2047
965,2469
966,3191
967,1880
968,1509
969,1720
970,1926
971,1100
972,1189
973,2987
974,3234
975,1122
976,1519
977,2002
978,2438
979,2689
980,2396
981,1604
982,2422
983,1477
984,1437
985,1432
986,2512
987,2788
988,2131
989,1404
990,1699
991,1991
992,1729
993,2396
994,1534
995,1570
996,983
997,851
998,1237
999,1357
1000,1922
1001,1654
1002,1716
1003,1469
1004,1290
1005,1482
1006,1328
1007,2197
1008,1480
1009,1594
1010,1203
1011,1136
1012,1617
1013,1976
1014,1336
1015,1351
1016,1404
1017,1485
1018,1326
1019,945
1020,1555
1021,927
1022,2210
1023,1558
1024,1677
1025,1229
1026,705
1027,1150
1028,691
1029,1477
1030,700
1031,1321
1032,868
1033,2007
1034,1064
1035,1944
1036,1153
1037,1240
1038,1376
1039,1461
1040,1536
1041,2319
1042,2897
1043,1023
1044,1710
1045,1930
1046,1823
1047,3072
1048,1385
1049,1641
1050,1220
1051,1893
1052,1322
1053,1846
1054,1736
1055,1894
1056,1867
1057,2916
1058,3582
1059,4216
1060,8497
1061,1882
1062,5182
1063,3606
1064,2829
1065,3788
1066,2517
1067,1848
1068,3138
1069,2708
1070,2007
1071,2827
1072,3753
1073,2577
1074,992
1075,2318
1076,1382
1077,2163
1078,1715
1079,1262
1080,1540
1081,2717
1082,3256
1083,2409
1084,2481
1085,3585
1086,2712
1087,1456
1088,2771
1089,2335
1090,3914
1091,4093
1092,1006
1093,1887
1094,1257
1095,3069
1096,2957
1097,2955
1098,2930
1099,4189
1100,5730
1101,3747
1102,3695
1103,3532
1104,3694
1105,4982
1106,3270
1107,1978
1108,3690
1109,1217
1110,2233
1111,1907
1112,1792
1113,2876
1114,2237
1115,2122
1116,4076
1117,6115
1118,3880
1119,3429
1120,2915
1121,4380
1122,2978
1123,4827
1124,1848
1125,3469
1126,2007
1127,2756
1128,3103
1129,3359
1130,1363
1131,2641
1132,2355
1133,2583
1134,2249
1135,2879
1136,1581
1137,2407
1138,3294
1139,1843
1140,2912
1141,4703
1142,2674
1143,4258
1144,2073
1145,2978
1146,3364
1147,4161
1148,4426
1149,3811
1150,2970
1151,3352
1152,3777
1153,5209
1154,6866
1155,5169
1156,4032
1157,4235
1158,3259
1159,2949
1160,4968
1161,3552
1162,2957
1163,3827
1164,4590
1165,7855
1166,2276
1167,2280
1168,2485
1169,3918
1170,3047
1171,3050
1172,2232
1173,2537
1174,2303
1175,1663
1176,1114
1177,3685
1178,2896
1179,3935
1180,2525
1181,4354
1182,2416
1183,2148
1184,3684
1185,1727
1186,1975
1187,2314
1188,1828
1189,2366
1190,1808
1191,2774
1192,1336
1193,2001
1194,2191
1195,3942
1196,5285
1197,1288
1198,2931
1199,2866
1200,1603
1201,3176
1202,3184
1203,2892
1204,2088
1205,1718
1206,1502
1207,1772
1208,2833
1209,4000
1210,2026
1211,1650
1212,1890
1213,3048
1214,3604
1215,1711
1216,2913
1217,4097
1218,2086
1219,3853
1220,1614
1221,1717
1222,3770
1223,1451
1224,2694
1225,1822
1226,1605
1227,2563
1228,2767
1229,4114
1230,3368
1231,2243
1232,3043
1233,1949
1234,2115
1235,2277
1236,2210
1237,3379
1238,4200
1239,2385
1240,3516
1241,1839
1242,1719
1243,1712
1244,2340
1245,2305
1246,1633
1247,1950
1248,884
1249,1680
1250,2982
1251,1905
1252,2263
1253,2300
1254,2748
1255,1216
1256,3548
1257,4202
1258,2623
1259,1017
1260,1615
1261,4072
1262,5779
1263,2356
1264,2360
1265,1738
1266,2789
1267,1801
1268,2460
1269,1392
1270,1511
1271,1503
1272,2976
1273,2477
1274,3742
1275,3015
1276,2487
1277,1121
1278,1566
1279,2338
1280,1965
1281,2717
1282,2858
1283,2605
1284,3275
1285,1985
1286,2096
1287,2748
1288,2012
1289,4022
1290,1405
1291,2990
1292,1791
1293,1370
1294,2174
1295,1178
1296,1578
1297,1783
1298,2099
1299,3185
1300,3445
1301,1311
1302,1847
1303,2826
1304,3196
1305,2291
1306,3995
1307,3100
1308,1858
1309,2967
1310,1737
1311,2732
1312,2674
1313,2610
1314,3176
1315,1808
1316,2793
1317,3356
1318,2125
1319,2681
1320,4793
1321,3237
1322,3216
1323,1058
1324,1580
1325,2041
1326,1742
1327,2059
1328,4056
1329,2770
1330,2325
1331,1608
1332,4925
1333,4066
1334,1951
1335,1585
1336,1917
1337,2995
1338,2903
1339,1888
1340,4225
1341,1656
1342,1685
1343,880
1344,1631
1345,1268
1346,770
1347,1646
1348,1895
1349,1062
1350,1582
1351,1214
1352,1520
1353,1157
1354,823
1355,1937
1356,2731
1357,1598
1358,2728
1359,2043
1360,2638
1361,2668
1362,2861
1363,2914
1364,2057
1365,1624
1366,3223
1367,3578
1368,2371
1369,1984
1370,2039
1371,2760
1372,979
1373,1542
1374,2261
1375,1473
1376,1781
1377,1372
1378,2028
1379,5815
1380,3514
1381,4627
1382,2998
1383,3256
1384,2640
1385,2189
1386,2879
1387,1799
1388,3836
1389,1707
1390,2388
1391,4079
1392,1972
1393,1956
1394,1524
1395,2664
1396,2764
1397,1740
1398,2148
1399,2025
1400,3073
1401,2432
1402,2007
1403,1200
1404,1432
1405,1739
1406,3605
1407,2773
1408,2210
1409,2787
1410,1654
1411,1917
1412,1606
1413,1309
1414,1541
1415,1506
1416,3630
1417,3629
1418,2831
1419,3199
1420,3238
1421,2486
1422,2427
1423,3548
1424,2860
1425,2379
1426,5465
1427,2907
1428,4750
1429,1201
1430,2290
1431,3085
1432,3923
1433,2481
1434,3609
1435,3250
1436,4626
1437,2198
1438,3175
1439,2384
1440,2368
1441,1982
1442,1327
1443,2509
1444,1254
1445,2637
1446,2326
1447,2942
1448,3541
1449,4479
1450,2239
1451,3651
1452,2049
1453,3756
1454,2678
1455,3272
1456,5429
1457,1925
1458,2667
1459,2342
1460,2922
1461,3049
1462,2914
1463,3972
1464,2706
1465,2692
1466,4827
1467,3912
1468,2589
1469,2534
1470,3644
1471,2818
1472,3013
1473,3922
1474,2164
1475,1923
1476,2481
1477,2216
1478,4177
1479,5181
1480,3530
1481,4060
1482,5721
1483,4778
1484,2777
1485,2664
1486,2699
1487,2762
1488,2381
1489,2696
1490,2258
1491,2139
1492,2338
1493,6198
1494,2714
1495,2836
1496,3871
1497,3463
1498,2893
1499,1870
1500,2870
1501,4201
1502,3017
1503,3251
